Name,Class
CER(14:0),CER
CER(16:0),CER
CER(18:0),CER
CER(18:1),CER
CER(20:0),CER
CER(20:1),CER
CER(22:0),CER
CER(22:1),CER
CER(24:0),CER
CER(24:1),CER
CER(26:0),CER
CER(26:1),CER
CE(12:0),CE
CE(14:0),CE
CE(14:1),CE
CE(15:0),CE
CE(16:0),CE
CE(16:1),CE
CE(17:0),CE
CE(18:0),CE
CE(18:1),CE
CE(18:2),CE
CE(18:3),CE
CE(18:4),CE
CE(20:0),CE
CE(20:1),CE
CE(20:2),CE
CE(20:3),CE
CE(20:4),CE
CE(20:5),CE
CE(22:0),CE
CE(22:4),CE
CE(22:6),CE
DAG(12:0/16:0),DAG
DAG(12:0/18:1),DAG
DAG(12:0/18:2),DAG
DAG(14:0/16:0),DAG
DAG(14:0/16:1),DAG
DAG(14:0/18:1),DAG
DAG(14:0/18:2),DAG
DAG(14:0/18:3),DAG
DAG(14:0/20:0),DAG
DAG(14:0/20:4),DAG
DAG(14:0/22:6),DAG
DAG(14:1/16:0),DAG
DAG(14:1/18:1),DAG
DAG(15:0/18:1),DAG
DAG(16:0/16:0),DAG
DAG(16:0/16:1),DAG
DAG(16:0/18:0),DAG
DAG(16:0/18:1),DAG
DAG(16:0/18:2),DAG
DAG(16:0/18:3),DAG
DAG(16:0/20:3),DAG
DAG(16:0/20:4),DAG
DAG(16:0/20:5),DAG
DAG(16:0/22:5),DAG
DAG(16:0/22:6),DAG
DAG(16:1/16:1),DAG
DAG(16:1/18:0),DAG
DAG(16:1/18:1),DAG
DAG(16:1/18:2),DAG
DAG(16:1/20:0),DAG
DAG(16:1/20:2),DAG
DAG(16:1/20:4),DAG
DAG(16:1/22:6),DAG
DAG(18:0/18:1),DAG
DAG(18:0/18:2),DAG
DAG(18:0/18:3),DAG
DAG(18:0/22:6),DAG
DAG(18:1/18:1),DAG
DAG(18:1/18:2),DAG
DAG(18:1/20:1),DAG
DAG(18:1/20:2),DAG
DAG(18:1/20:3),DAG
DAG(18:1/20:4),DAG
DAG(18:1/20:5),DAG
DAG(18:1/22:4),DAG
DAG(18:1/22:6),DAG
DAG(18:2/18:3),DAG
DAG(18:2/20:3),DAG
DAG(18:2/20:4),DAG
DAG(18:2/20:5),DAG
DAG(18:2/22:4),DAG
DAG(18:2/22:6),DAG
DAG(20:0/20:0),DAG
DCER(16:0),DCER
DCER(18:0),DCER
DCER(20:0),DCER
DCER(22:0),DCER
DCER(22:1),DCER
DCER(22:2),DCER
DCER(24:0),DCER
DCER(24:1),DCER
DCER(26:1),DCER
HCER(14:0),HCER
HCER(16:0),HCER
HCER(18:0),HCER
HCER(18:1),HCER
HCER(20:0),HCER
HCER(20:1),HCER
HCER(22:0),HCER
HCER(22:1),HCER
HCER(24:0),HCER
HCER(24:1),HCER
HCER(26:0),HCER
HCER(26:1),HCER
LCER(14:0),LCER
LCER(16:0),LCER
LCER(18:0),LCER
LCER(18:1),LCER
LCER(20:0),LCER
LCER(20:1),LCER
LCER(22:0),LCER
LCER(22:1),LCER
LCER(24:0),LCER
LCER(24:1),LCER
LPC(16:0),LPC
LPC(16:1),LPC
LPC(18:0),LPC
LPC(18:1),LPC
LPC(18:2),LPC
LPC(20:4),LPC
LPC(22:6),LPC
LPE(16:0),LPE
LPE(16:1),LPE
LPE(18:0),LPE
LPE(18:1),LPE
LPE(18:2),LPE
LPE(20:1),LPE
LPE(20:3),LPE
